Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score
485,Indiana Wesleyan University-Marion,426,"56.6
(1.6%)",57.5
486,Bob Jones University,452,"56.6
(0.3%)",56.4
487,Merrimack College,393,"56.5
(3.8%)",58.8
488,Elmira College,478,"56.5
(2.0%)",55.4
489,Benedictine College,472,"56.5
(1.5%)",55.7
490,Suffolk University,481,"56.5
(2.1%)",55.3
491,University of West Florida,727,"56.5
(18.6%)",47.6
492,Moore College of Art and Design,595,"56.5
(9.0%)",51.8
493,Ringling College of Art and Design,335,"56.5
(7.1%)",60.8
494,Iona University,606,"56.5
(9.7%)",51.5
495,Roanoke College,409,"56.5
(3.2%)",58.3
496,Salisbury University,440,"56.5
(0.9%)",57.0
497,Whittier College,334,"56.4
(7.3%)",60.9
498,Pacific University,422,"56.4
(2.2%)",57.7
499,New College of Florida,383,"56.4
(4.3%)",59.0
500,St. John's College,379,"56.4
(4.6%)",59.1
